datetime,tempmax,tempmin,temp,dew,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,precipprob,precip
1/1/2021,29.6,24,26.4,23.3,83.4,36.7,14.8,283.5,1008.5,61.9,100,27.613
2/1/2021,32.4,23.7,27.8,23.2,76.7,23.8,21.7,290.5,1008.4,55.5,100,0.002
3/1/2021,32.1,25,27.4,23.1,77.8,29.5,28.8,269.6,1008.3,59.6,100,8.815
4/1/2021,31.4,24,27.8,22.9,75.5,30.6,23.4,275.2,1007.8,57.7,0,0
5/1/2021,29.3,24,27.2,23.9,82.5,29.2,9.7,294.7,1007.8,56,100,0.256
6/1/2021,31,23,26.8,23.6,83.5,30.6,27.7,294.9,1007.3,69.9,100,25.15
7/1/2021,29.7,24.6,26.8,23.6,83,31.7,16.6,308.2,1007.1,65.7,100,25.681
8/1/2021,29.1,26,27.3,24.1,83,27.7,21.8,280.1,1007,55.7,100,14.604
9/1/2021,31.3,24,26.5,23.8,85.9,37.1,24.1,267.9,1007.7,65.2,100,33.892
10/1/2021,30,24,26.8,23.3,81.8,32,20.5,266.6,1007.3,61,100,0.531
11/1/2021,31.4,24,27.5,23.3,78.1,34.9,17.8,284.7,1007.9,55.9,100,0.046
12/1/2021,29.8,24,26.7,23.4,82.4,31.7,19,261.6,1008.6,64.2,100,12.628
13/1/2021,29,25,27.1,23.5,81.2,28.1,20.5,309.7,1009,66,100,0.243
14/1/2021,29,26,27.4,23.4,79.1,27.7,20,308.7,1010.2,68.7,0,0
15/1/2021,30.7,25.3,27.6,23.5,78.8,23.4,14.5,307,1009.1,59.4,100,0.001
16/1/2021,34,24.7,28.8,22.3,69.6,33.1,36.3,253.1,1007.4,53.5,0,0
17/1/2021,30.1,24.7,27.7,23.7,79,37.1,17.8,295.2,1008,60.3,100,0.008
18/1/2021,27.8,25,26.8,23.5,82.2,38.9,25.5,298.5,1009.1,65.3,100,2.755
19/1/2021,28.7,24,26.6,22.8,80.4,46.4,22.3,313.6,1009.7,68.5,100,14.767
20/1/2021,29.7,24.6,27.1,23.4,80.8,32,27,323.9,1009.7,70.6,100,14.514
21/1/2021,28.1,24.7,26.7,24,85.6,27.7,13,315.3,1009.7,66,100,10.002
22/1/2021,30,25,27,22.7,78,33.8,25.3,294,1009.3,63.6,100,0.004
23/1/2021,30.1,24,27.4,23.9,81.5,24.8,21.6,323.5,1008.9,53.3,0,0
24/1/2021,27.6,24,25.2,23.9,92.2,21.2,11,264.4,1010,76,100,55.599
25/1/2021,30.3,24,26.8,23.4,82.3,28.4,21.1,279.4,1009.4,56.2,100,6.606
26/1/2021,31,24,26.7,23.4,82.3,42.5,25.9,261.3,1008.8,60.7,100,2.498
27/1/2021,29,24,26.1,23.2,83.9,42.5,26.7,256.3,1008.5,69.3,100,5.742
28/1/2021,28.7,24,26.2,22.8,82.1,40.3,23.1,272.1,1009.1,63.4,100,12.578
29/1/2021,30,24,25.8,23.3,86.9,37.4,28.5,272.9,1009.2,72.9,100,38.606
30/1/2021,29.3,24,26,23.5,86.5,37.4,18.4,291.3,1009.7,71.6,100,27.889
31/1/2021,28.6,24.3,26.5,23.8,85,40,14.8,285.2,1010.4,60.1,100,6.387
